date,city,state,weather,road_type,visibility,traffic_density,festival,cause,day_of_week,hour,is_weekend,is_peak_hour,temperature,lanes,traffic_signal,vehicles_involved,casualties,risk_score,latitude,longitude,accident_severity
2024-08-20,Kolkata,West Bengal,Clear,Urban,High,High,None,Distracted Driving,Tuesday,23,0,0,18,6,1,1,0,45.95,22.395048,88.307285,minor
2024-05-29,Jaipur,Rajasthan,Cloudy,Rural,Low,Low,Holi,Over-speeding,Wednesday,7,0,0,13,5,1,5,1,59.81,26.945663,75.680175,minor
2025-04-15,Kolkata,West Bengal,Clear,Urban,Medium,High,Christmas,Over-speeding,Tuesday,8,0,1,12,4,1,5,2,71.12,22.542324,88.263939,minor
2024-07-22,Kolkata,West Bengal,Cloudy,Highway,High,Medium,Christmas,Drunk Driving,Monday,12,0,0,26,6,1,1,3,41.96,22.598972,88.43822,major
2025-09-12,Delhi,Delhi,Cloudy,Urban,High,High,Diwali,Over-speeding,Friday,23,0,0,20,5,1,2,0,92.27,28.672436,77.132573,minor
2024-02-04,Pune,Maharashtra,Foggy,Rural,High,Low,Diwali,Drunk Driving,Sunday,18,1,1,34,2,0,2,4,90.12,18.466743,73.857418,minor
2024-06-17,Kolkata,West Bengal,Cloudy,Urban,Low,Medium,None,Distracted Driving,Monday,8,0,1,12,2,0,4,4,49.26,22.688873,88.169467,minor
2025-04-10,Mumbai,Maharashtra,Foggy,Rural,Medium,High,Diwali,Speeding,Thursday,11,0,0,22,4,0,5,4,46.24,19.120033,72.936761,minor
2025-12-18,Pune,Maharashtra,Cloudy,Highway,High,Low,None,Drunk Driving,Thursday,9,0,1,39,1,0,2,4,30.85,18.501858,73.924894,major
2025-08-24,Jaipur,Rajasthan,Rainy,Urban,Low,Low,Eid,Poor Road Condition,Sunday,23,1,0,34,3,0,3,1,55.47,27.092622,75.92948,minor
2025-12-03,Mumbai,Maharashtra,Foggy,Highway,Medium,Medium,Holi,Speeding,Wednesday,11,0,0,37,1,0,5,0,24.05,19.009404,73.073228,fatal
2024-03-11,Chennai,Tamil Nadu,Rainy,Rural,High,Low,Diwali,Over-speeding,Monday,17,0,1,8,3,0,2,4,40.05,12.952499,80.335123,major
2024-05-14,Delhi,Delhi,Foggy,Highway,Low,Medium,None,Over-speeding,Tuesday,0,0,0,24,1,0,4,4,29.09,28.439323,77.18831,minor
2025-06-09,Hyderabad,Telangana,Clear,Urban,Low,Low,Christmas,Speeding,Monday,18,0,1,41,3,1,1,0,99.89,17.523919,78.457209,minor
2025-05-17,Mumbai,Maharashtra,Cloudy,Highway,High,Medium,Christmas,Over-speeding,Saturday,22,1,0,12,2,1,5,4,63.87,19.006074,73.075551,major
2025-04-09,Kolkata,West Bengal,Cloudy,Highway,Low,Low,Christmas,Over-speeding,Wednesday,16,0,0,35,4,0,4,2,86.19,22.532092,88.455745,major
2025-03-13,Hyderabad,Telangana,Foggy,Urban,High,High,Eid,Speeding,Thursday,10,0,1,13,1,0,4,0,79.57,17.334059,78.338746,major
2025-08-23,Delhi,Delhi,Foggy,Rural,High,Medium,Diwali,Distracted Driving,Saturday,17,1,1,11,3,1,3,0,66.23,28.498996,77.271695,major
2024-04-20,Chennai,Tamil Nadu,Foggy,Highway,Medium,High,Holi,Distracted Driving,Saturday,11,1,0,9,5,1,1,1,41.86,13.187664,80.439315,minor
2024-01-07,Hyderabad,Telangana,Rainy,Rural,Low,Medium,None,Over-speeding,Sunday,5,1,0,9,1,0,4,3,56.29,17.247964,78.411355,minor
2025-08-04,Hyderabad,Telangana,Clear,Highway,High,Low,Christmas,Speeding,Monday,19,0,1,13,3,1,4,3,68.57,17.350673,78.372928,minor
2024-12-19,Mumbai,Maharashtra,Clear,Urban,Low,High,Christmas,Distracted Driving,Thursday,13,0,0,41,6,1,1,1,51.62,19.11573,72.680775,fatal
2024-08-04,Kolkata,West Bengal,Foggy,Urban,Medium,Low,None,Distracted Driving,Sunday,4,1,0,35,2,0,4,4,76.29,22.572705,88.497242,major
2024-03-14,Hyderabad,Telangana,Clear,Urban,High,Medium,None,Drunk Driving,Thursday,12,0,0,35,5,1,4,2,29.21,17.193343,78.416607,minor
2025-12-07,Pune,Maharashtra,Clear,Urban,High,Low,Eid,Poor Road Condition,Sunday,11,1,0,33,5,0,4,2,79.66,18.409029,73.968347,minor
2025-06-06,Mumbai,Maharashtra,Clear,Rural,Low,Low,Diwali,Drunk Driving,Friday,20,0,0,17,2,0,2,2,35.78,19.11696,72.981786,minor
2024-06-30,Mumbai,Maharashtra,Cloudy,Urban,Low,High,Eid,Poor Road Condition,Sunday,20,1,0,28,6,1,2,3,25.46,19.052883,72.798828,minor
2025-08-28,Kolkata,West Bengal,Foggy,Rural,High,Medium,Eid,Distracted Driving,Thursday,1,0,0,10,1,1,3,0,71.57,22.763547,88.200019,major
2025-04-18,Jaipur,Rajasthan,Clear,Urban,Low,High,Holi,Drunk Driving,Friday,18,0,1,38,5,0,1,3,28.28,27.072051,75.724675,major
2025-05-31,Mumbai,Maharashtra,Rainy,Highway,High,High,Eid,Distracted Driving,Saturday,20,1,0,41,5,0,3,2,93.43,19.030967,72.987486,fatal
2025-10-08,Delhi,Delhi,Foggy,Highway,Medium,Low,Christmas,Distracted Driving,Wednesday,20,0,0,26,3,0,3,0,66.62,28.470471,77.148928,minor
2024-05-12,Jaipur,Rajasthan,Clear,Urban,Low,Medium,Diwali,Over-speeding,Sunday,19,1,1,41,1,1,5,2,21.46,26.835946,75.967768,minor
2025-05-12,Hyderabad,Telangana,Rainy,Highway,High,Low,Diwali,Speeding,Monday,6,0,0,40,5,0,3,4,30.48,17.335688,78.351599,major
2025-03-24,Bengaluru,Karnataka,Cloudy,Urban,Low,High,Holi,Distracted Driving,Monday,1,0,0,26,6,1,2,4,39.13,13.157839,77.708348,major
2025-01-11,Chennai,Tamil Nadu,Cloudy,Urban,Medium,Medium,Christmas,Poor Road Condition,Saturday,21,1,0,34,2,0,5,1,89.84,12.903572,80.262936,major
2025-07-21,Hyderabad,Telangana,Clear,Urban,High,Low,Diwali,Distracted Driving,Monday,3,0,0,40,2,1,1,1,85.34,17.538852,78.658889,major
2024-02-24,Jaipur,Rajasthan,Foggy,Highway,Medium,Low,Diwali,Over-speeding,Saturday,12,1,0,9,3,0,3,1,31.01,26.827152,75.919205,minor
2025-12-23,Bengaluru,Karnataka,Cloudy,Rural,High,Low,None,Drunk Driving,Tuesday,15,0,0,21,2,1,1,2,39.01,12.820339,77.489976,minor
2024-03-05,Pune,Maharashtra,Cloudy,Rural,Low,Low,Christmas,Poor Road Condition,Tuesday,3,0,0,23,6,0,3,3,20.13,18.461526,73.884965,minor
2025-11-11,Bengaluru,Karnataka,Clear,Rural,Medium,Low,Christmas,Poor Road Condition,Tuesday,21,0,0,40,5,0,4,3,23.48,12.926353,77.543921,minor
2024-12-31,Delhi,Delhi,Foggy,Highway,Low,High,None,Poor Road Condition,Tuesday,2,0,0,29,2,0,3,4,47.08,28.671018,77.341153,minor
2025-12-13,Pune,Maharashtra,Rainy,Highway,High,High,Eid,Speeding,Saturday,15,1,0,26,2,0,2,0,45.25,18.44443,73.81599,minor
2024-09-16,Pune,Maharashtra,Rainy,Urban,Medium,Low,Diwali,Drunk Driving,Monday,1,0,0,15,3,1,4,3,91.57,18.475058,74.046189,major
2025-12-09,Pune,Maharashtra,Foggy,Rural,Medium,Low,Eid,Speeding,Tuesday,15,0,0,35,5,0,5,2,45.7,18.352428,73.921068,minor
2025-04-01,Kolkata,West Bengal,Cloudy,Highway,Low,Medium,Diwali,Distracted Driving,Tuesday,19,0,1,10,6,1,5,3,41.96,22.764611,88.543062,minor
2025-11-18,Mumbai,Maharashtra,Cloudy,Urban,Low,High,Holi,Speeding,Tuesday,20,0,0,17,5,1,1,1,25.38,19.187406,72.824231,fatal
2025-08-03,Jaipur,Rajasthan,Rainy,Rural,Medium,Medium,Diwali,Distracted Driving,Sunday,1,1,0,12,5,0,5,2,51.84,26.972224,75.687145,minor
2024-01-27,Mumbai,Maharashtra,Rainy,Urban,Low,Medium,Christmas,Speeding,Saturday,23,1,0,24,3,1,2,4,42.85,19.242592,72.87418,minor
2024-05-18,Mumbai,Maharashtra,Cloudy,Highway,Low,Medium,None,Drunk Driving,Saturday,2,1,0,30,6,0,5,4,43.23,18.995983,72.740702,major
2025-01-05,Bengaluru,Karnataka,Rainy,Highway,High,Low,Holi,Distracted Driving,Sunday,16,1,0,9,3,1,4,4,30.38,13.125299,77.420899,minor
2025-05-05,Jaipur,Rajasthan,Cloudy,Urban,Low,Low,Holi,Drunk Driving,Monday,16,0,0,12,4,1,5,2,30.27,27.044021,75.807821,minor
2024-05-12,Bengaluru,Karnataka,Clear,Highway,Low,Low,Diwali,Over-speeding,Sunday,13,1,0,18,3,0,3,4,91.59,13.109973,77.494842,minor
2024-05-08,Kolkata,West Bengal,Foggy,Rural,Low,Low,Christmas,Over-speeding,Wednesday,20,0,0,17,2,1,5,0,86.02,22.383949,88.182085,minor
2025-10-28,Kolkata,West Bengal,Cloudy,Rural,Low,Low,Eid,Poor Road Condition,Tuesday,6,0,0,26,6,1,4,1,84.38,22.646596,88.282874,fatal
2025-12-06,Mumbai,Maharashtra,Rainy,Urban,Medium,Medium,Eid,Over-speeding,Saturday,1,1,0,29,5,0,3,2,78.74,19.220311,73.06785,major
2025-01-14,Bengaluru,Karnataka,Clear,Urban,High,Medium,None,Drunk Driving,Tuesday,16,0,0,36,2,0,1,0,43.22,12.92526,77.640751,major
2024-06-12,Chennai,Tamil Nadu,Foggy,Highway,High,Medium,Christmas,Distracted Driving,Wednesday,10,0,1,39,3,1,1,0,95.62,13.084878,80.457375,fatal
2025-08-20,Chennai,Tamil Nadu,Clear,Highway,Medium,Medium,Christmas,Distracted Driving,Wednesday,11,0,0,26,5,0,1,3,30.71,12.988489,80.217011,major
2025-01-09,Jaipur,Rajasthan,Cloudy,Highway,Low,High,Holi,Drunk Driving,Thursday,1,0,0,26,1,1,5,3,81.15,26.824288,75.982936,minor
2024-05-11,Mumbai,Maharashtra,Cloudy,Urban,Medium,High,Diwali,Over-speeding,Saturday,3,1,0,20,5,1,5,0,23.62,18.930815,72.810916,fatal
2025-06-15,Pune,Maharashtra,Rainy,Rural,Low,Low,Diwali,Poor Road Condition,Sunday,14,1,0,28,2,1,5,2,67.5,18.523326,73.860586,minor
2025-12-26,Pune,Maharashtra,Foggy,Urban,High,Medium,Diwali,Speeding,Friday,18,0,1,34,5,1,1,4,57.97,18.707228,73.969862,major
2024-02-22,Chennai,Tamil Nadu,Cloudy,Highway,Low,High,Christmas,Distracted Driving,Thursday,18,0,1,17,6,0,1,4,95.86,12.926658,80.078275,fatal
2025-03-04,Hyderabad,Telangana,Cloudy,Rural,High,Medium,Christmas,Poor Road Condition,Tuesday,4,0,0,38,6,0,2,4,36.59,17.31502,78.551591,minor
2024-11-17,Jaipur,Rajasthan,Cloudy,Rural,Medium,High,Diwali,Drunk Driving,Sunday,5,1,0,38,2,0,3,4,43.88,27.088994,75.980204,minor
2025-12-22,Kolkata,West Bengal,Cloudy,Urban,Medium,Medium,Christmas,Drunk Driving,Monday,6,0,0,26,1,1,4,2,96.37,22.694446,88.280081,minor
2024-03-21,Kolkata,West Bengal,Cloudy,Rural,Medium,High,Eid,Over-speeding,Thursday,11,0,0,20,5,1,5,2,30.98,22.618871,88.398632,minor
2024-02-21,Chennai,Tamil Nadu,Rainy,Rural,High,Low,None,Distracted Driving,Wednesday,21,0,0,29,6,1,1,1,20.41,13.102841,80.44234,major
2025-10-30,Jaipur,Rajasthan,Cloudy,Rural,High,Medium,Diwali,Drunk Driving,Thursday,15,0,0,11,1,0,5,0,93.06,26.782426,75.940198,fatal
2024-02-07,Bengaluru,Karnataka,Cloudy,Highway,Low,Medium,None,Speeding,Wednesday,12,0,0,27,5,0,3,2,56.35,13.028125,77.604327,minor
2025-05-31,Bengaluru,Karnataka,Foggy,Highway,High,Medium,Holi,Distracted Driving,Saturday,14,1,0,24,6,0,1,2,83.26,12.998712,77.697513,minor
2025-09-17,Bengaluru,Karnataka,Cloudy,Urban,Low,Medium,None,Distracted Driving,Wednesday,20,0,0,14,2,0,4,2,94.87,12.774332,77.54803,minor
2024-09-30,Pune,Maharashtra,Foggy,Rural,Low,High,None,Drunk Driving,Monday,10,0,1,31,6,0,1,0,57.23,18.384287,73.931129,minor
2025-12-07,Kolkata,West Bengal,Foggy,Urban,Low,Low,Holi,Over-speeding,Sunday,3,1,0,38,2,1,5,2,53.27,22.592294,88.352231,minor
2024-09-10,Chennai,Tamil Nadu,Clear,Rural,Medium,High,Diwali,Speeding,Tuesday,21,0,0,15,1,0,5,4,31.99,13.013947,80.278837,minor
2025-11-27,Mumbai,Maharashtra,Cloudy,Highway,Low,Medium,None,Distracted Driving,Thursday,6,0,0,16,5,1,4,4,24.62,19.060951,73.000466,fatal
2025-02-09,Delhi,Delhi,Clear,Rural,High,High,None,Speeding,Sunday,8,1,1,35,3,0,5,0,94.77,28.441508,77.38251,minor
2024-10-20,Delhi,Delhi,Rainy,Highway,Low,High,Eid,Drunk Driving,Sunday,13,1,0,32,4,1,4,0,74.62,28.678617,77.22472,minor
2024-05-01,Hyderabad,Telangana,Cloudy,Rural,High,High,Holi,Speeding,Wednesday,5,0,0,9,3,1,5,3,62.55,17.514344,78.385705,major
2024-06-07,Hyderabad,Telangana,Rainy,Rural,High,Low,Eid,Poor Road Condition,Friday,8,0,1,9,2,0,1,0,67.52,17.363576,78.555509,minor
2024-09-07,Delhi,Delhi,Clear,Urban,Medium,Low,Christmas,Over-speeding,Saturday,23,1,0,11,2,1,2,4,45.51,28.653067,77.278013,fatal
2024-08-30,Hyderabad,Telangana,Rainy,Rural,Low,Low,Eid,Drunk Driving,Friday,9,0,1,25,1,0,4,4,59.65,17.573916,78.663335,fatal
2025-06-21,Jaipur,Rajasthan,Cloudy,Urban,High,Medium,Eid,Over-speeding,Saturday,10,1,1,42,4,0,2,2,88.6,26.770141,75.77251,minor
2025-07-29,Delhi,Delhi,Cloudy,Rural,Low,Low,Eid,Over-speeding,Tuesday,13,0,0,24,2,1,1,3,87.77,28.450886,77.298834,minor
2024-02-22,Chennai,Tamil Nadu,Cloudy,Rural,Low,High,None,Speeding,Thursday,8,0,1,20,5,0,4,1,89.56,13.015886,80.453508,minor
2024-08-04,Delhi,Delhi,Clear,Rural,Medium,Low,Christmas,Over-speeding,Sunday,6,1,0,33,2,1,3,3,57.3,28.673389,77.132369,minor
2025-06-09,Hyderabad,Telangana,Cloudy,Highway,Low,Medium,Diwali,Over-speeding,Monday,15,0,0,31,3,1,1,4,89.13,17.481501,78.293188,minor
2024-10-29,Jaipur,Rajasthan,Rainy,Urban,High,Medium,Christmas,Over-speeding,Tuesday,4,0,0,39,5,1,3,3,97.32,26.969078,75.783538,major
2024-12-26,Bengaluru,Karnataka,Rainy,Rural,Low,Medium,Holi,Poor Road Condition,Thursday,5,0,0,11,5,0,1,0,81.15,12.936557,77.731618,minor
2024-03-10,Chennai,Tamil Nadu,Rainy,Highway,High,High,Eid,Drunk Driving,Sunday,22,1,0,11,5,1,4,0,20.53,13.103357,80.07544,minor
2025-07-02,Kolkata,West Bengal,Clear,Rural,Low,High,Eid,Over-speeding,Wednesday,9,0,1,14,1,0,2,1,69.58,22.473567,88.305676,minor
2024-03-21,Jaipur,Rajasthan,Cloudy,Urban,Low,Low,Holi,Drunk Driving,Thursday,11,0,0,13,6,0,1,3,50.34,26.933481,75.609746,fatal
2025-12-20,Delhi,Delhi,Clear,Urban,Medium,High,Diwali,Poor Road Condition,Saturday,5,1,0,14,5,0,2,1,92.1,28.690815,77.235714,minor
2024-02-17,Kolkata,West Bengal,Foggy,Rural,Low,High,None,Over-speeding,Saturday,2,1,0,28,1,0,5,1,80.18,22.657685,88.323218,minor
2024-11-02,Mumbai,Maharashtra,Rainy,Rural,Medium,High,Christmas,Drunk Driving,Saturday,5,1,0,32,6,0,1,4,79.64,19.014344,72.716774,minor
2024-03-18,Chennai,Tamil Nadu,Cloudy,Urban,High,High,Diwali,Distracted Driving,Monday,10,0,1,39,2,1,5,3,54.55,13.154578,80.334969,fatal
2025-09-25,Mumbai,Maharashtra,Rainy,Rural,High,Low,Diwali,Over-speeding,Thursday,9,0,1,32,6,0,4,2,48.86,18.912608,73.054884,minor
2025-01-03,Pune,Maharashtra,Clear,Highway,High,Low,Eid,Distracted Driving,Friday,8,0,1,40,4,0,1,0,48.31,18.357626,73.895918,major
2025-01-29,Hyderabad,Telangana,Foggy,Urban,Medium,Low,Christmas,Over-speeding,Wednesday,0,0,0,41,2,1,2,1,41.51,17.292363,78.345074,major
2025-03-21,Bengaluru,Karnataka,Cloudy,Urban,Medium,Low,Diwali,Drunk Driving,Friday,8,0,1,23,6,1,5,4,35.64,12.814389,77.516463,minor
2024-12-06,Jaipur,Rajasthan,Cloudy,Urban,Medium,Medium,Eid,Poor Road Condition,Friday,19,0,1,16,3,1,5,1,58.32,26.783455,75.746596,major
2024-10-25,Hyderabad,Telangana,Cloudy,Rural,High,Medium,Eid,Drunk Driving,Friday,23,0,0,33,3,0,5,1,67.38,17.403252,78.559385,minor
2025-04-17,Delhi,Delhi,Rainy,Urban,Medium,High,None,Distracted Driving,Thursday,22,0,0,39,2,1,2,2,72.69,28.699995,77.324631,major
2025-04-04,Mumbai,Maharashtra,Cloudy,Rural,Medium,High,Christmas,Distracted Driving,Friday,19,0,1,42,1,1,5,4,71.05,18.909993,72.985282,major
2024-06-19,Hyderabad,Telangana,Clear,Rural,Low,High,Eid,Drunk Driving,Wednesday,20,0,0,35,1,0,1,2,37.76,17.483741,78.509897,minor
